"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"91","3/27/2025","Robbery","Outside","Personal weapons","Male","20","Black or African American","Not Hispanic or Latino","600 W NORTH AVE","Western","Reservoir Hill",39.310868,-76.626346,"Street","11:50:00",""
"92","3/27/2025","Robbery","Outside","Handgun","Male","41","White","Unknown","400 W LAFAYETTE AVE","Western","Madison Park",39.303923,-76.628115,"Street","5:15:00",""
"93","4/2/2025","Robbery","Inside",NA,"Female","33","White","Hispanic or Latino","300 DREW ST","Southeast","Bayview",39.290097,-76.543859,"Convenience store","1:15:00",""
"94","4/2/2025","Robbery","Inside","Motor vehicle vessel","Male","28","Black or African American","Unknown","4800 STRATHDALE RD","Northeast","Frankford",39.322316,-76.53616,"Other/residential","2:45:00",""
"95","4/2/2025","Robbery - commercial","Inside","Personal weapons",NA,"None reported","None reported",NA,"3800 EASTERN AVE","Southeast","Highlandtown",39.286751,-76.565049,"Wholesaler/store","2:35:00",""
"96","4/2/2025","Robbery","Inside","Personal weapons","Female","60","None reported","Unknown","3800 EASTERN AVE","Southeast","Highlandtown",39.286751,-76.565049,"Wholesaler/store","2:35:00",""
"97","4/2/2025","Robbery","Inside","Personal weapons","Male","37","Black or African American","Not Hispanic or Latino","1100 W 41ST ST","Northern","Hampden",39.337831,-76.636468,"Convenience store","1:55:00",""
"98","4/2/2025","Robbery - commercial","Inside","Personal weapons",NA,"None reported","None reported",NA,"1100 W 41ST ST","Northern","Hampden",39.337831,-76.636468,"Convenience store","1:55:00",""
"99","4/1/2025","Robbery","Outside","Personal weapons","Female","14","Unknown","Hispanic or Latino","1300 DUNDALK AVE","Southeast","Graceland Park",39.279643,-76.534602,"Street","7:40:00",""
"100","4/1/2025","Robbery","Outside","Personal weapons","Male","14","Black or African American","Unknown","4600 PALL MALL RD","Northern","Parklane",39.342276,-76.665065,"Street","6:45:00",""
"101","4/3/2025","Robbery","Outside",NA,"Female","23","White","Hispanic or Latino","100 N EAST AVE","Southeast","Patterson Park Neighborhood",39.293632,-76.572528,"Street","12:10:00",""
"102","3/30/2025","Robbery","Inside","Knife/cutting instrument","Female","22","Black or African American","Unknown","3800 LIBERTY HEIGHTS AVE","Northwest","Callaway-Garrison",39.327034,-76.68115,"Office building","4:40:00",""
"103","3/29/2025","Robbery","Inside","Personal weapons","Female","26","Black or African American","Not Hispanic or Latino","1500 HARFORD AVE","Eastern","Oliver",39.308015,-76.600604,"Grocery/confection","1:32:00",""
"104","3/29/2025","Robbery - commercial","Inside","Personal weapons",NA,"None reported","None reported",NA,"1500 HARFORD AVE","Eastern","Oliver",39.308015,-76.600604,"Grocery/confection","1:32:00",""
"105","3/29/2025","Robbery","Inside","Personal weapons","Male","39","Black or African American","Not Hispanic or Latino","1500 HARFORD AVE","Eastern","Oliver",39.308015,-76.600604,"Grocery/confection","1:32:00",""
"106","3/30/2025","Robbery","Outside","Personal weapons","Female","42","Black or African American","Unknown","300 N CHARLES ST","Central","Downtown",39.292359,-76.615412,"Street","9:20:00",""
"107","3/22/2025","Robbery - commercial","Inside",NA,NA,"None reported","None reported",NA,"3700 FLEET ST","Southeast","Brewers Hill",39.285576,-76.566257,"Convenience store","7:08:00",""
"108","3/20/2025","Robbery","Inside","Personal weapons","Female","32","Black or African American","Unknown","300 SAINT PAUL ST","Central","Downtown",39.311268,-76.674185,"Drug store / med  bldg","1:40:00",""
"109","4/1/2025","Robbery","Inside","Knife/cutting instrument","Male","22","Black or African American","Not Hispanic or Latino","1500 HARFORD AVE","Eastern","Oliver",39.308015,-76.600604,"Convenience store","1:30:00",""
"110","4/1/2025","Robbery","Outside","Other","Female","60","White","Not Hispanic or Latino","1900 N HOWARD ST","Eastern","Charles North",39.311642,-76.619249,"Street","9:00:00",""
"111","3/29/2025","Robbery","Inside","Handgun","Male","22","None reported","Unknown","3500 DOLFIELD AVE","Northwest","Ashburton",39.334487,-76.674132,"Convenience store","11:31:00",""
"112","3/29/2025","Robbery - commercial","Inside","Handgun",NA,"None reported","None reported",NA,"3500 DOLFIELD AVE","Northwest","Ashburton",39.334487,-76.674132,"Convenience store","11:31:00",""
"113","3/29/2025","Robbery","Outside","Personal weapons","Female","24","Black or African American","Unknown","100 W FAYETTE ST","Central","Downtown",39.290531,-76.616909,"Street","3:00:00",""
"114","3/23/2025","Robbery - commercial","Inside","Personal weapons",NA,"None reported","None reported",NA,"1500 HARFORD AVE","Eastern","Oliver",39.308015,-76.600604,"Office building","9:58:00",""
"115","3/23/2025","Robbery","Inside","Personal weapons","Male","22","Black or African American","Not Hispanic or Latino","1500 HARFORD AVE","Eastern","Oliver",39.308015,-76.600604,"Office building","9:58:00",""
"116","3/19/2025","Robbery","Outside","Personal weapons","Male","16","Unknown","Hispanic or Latino","200 KEY HWY","Central","Inner Harbor",39.28072,-76.61116,"Park","6:35:00",""
"117","3/22/2025","Robbery - commercial","Inside","Firearm",NA,"None reported","None reported",NA,"3800 E LOMBARD ST","Southeast","Baltimore Highlands",39.291551,-76.564909,"Office building","2:10:00",""
"118","3/20/2025","Robbery","Inside","Personal weapons","Male","37","Asian","Not Hispanic or Latino","3200 GREENMOUNT AVE","Northern","Abell",39.32807,-76.609501,"Office building","8:40:00",""
"119","3/20/2025","Robbery - commercial","Inside","Personal weapons",NA,"None reported","None reported",NA,"3200 GREENMOUNT AVE","Northern","Abell",39.32807,-76.609501,"Office building","8:40:00",""
"120","3/20/2025","Robbery","Inside","Personal weapons","Female","41","Black or African American","Not Hispanic or Latino","4100 PULASKI HWY","Southeast","Kresson",39.297025,-76.562986,"Convenience store","4:25:00",""
