"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"686","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","1500 62ND ST","Southeast","Pulaski Industrial Area",39.310944,-76.530961,"Convenience store","4:28","a.m."
"687","4/25/2025","Larceny","Inside","None reported","Female","44","White","Not Hispanic or Latino","700 LENNOX ST","Western","Reservoir Hill",39.311833,-76.628498,"Other/residential","5:55","a.m."
"688","4/25/2025","Larceny","Inside","None reported","Male","41","Black or African American","Not Hispanic or Latino","4400 CHALET CT","Northeast","Frankford",39.326651,-76.560433,"Other/residential","8:00","a.m."
"689","4/25/2025","Larceny of motor vehicle parts or accessories","Outside","None reported","Female","48","Black or African American","Unknown","1500 N SPRING ST","Eastern","Oliver",39.307484,-76.599027,"Street","9:00","a.m."
"690","4/25/2025","Larceny","Outside","None reported","Male","22","White","Unknown","1400 BANK ST","Central","Perkins",39.286487,-76.597539,"Street","9:13","a.m."
"691","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","30 LIGHT ST","Central","Downtown",39.287988,-76.613723,"Convenience store","10:05","a.m."
"692","4/25/2025","Larceny from auto","Outside","None reported","Male","41","White","Hispanic or Latino","200 W MADISON ST","Central","Mount Vernon",39.298389,-76.619355,"Street","10:30","a.m."
"693","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","3700 FLEET ST","Southeast","Brewers Hill",39.285576,-76.566257,"Convenience store","10:50","a.m."
"694","4/25/2025","Larceny of motor vehicle parts or accessories","Inside","None reported","Female","42","Black or African American","Not Hispanic or Latino","1100 W NORTHERN PKWY","Northern","North Roland Park/Poplar Hill",39.361532,-76.646049,"Other/residential","12:00","p.m."
"695","4/25/2025","Larceny","Outside","None reported","None reported","None reported","None reported","None Reported","1200 N CAROLINE ST","Eastern","Oliver",39.304514,-76.598067,"Street","12:40","p.m."
"696","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","200 MCMECHEN ST","Western","Bolton Hill",39.307284,-76.627853,"Convenience store","1:30","p.m."
