"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"272","4/9/2025","Auto theft","Outside","None reported","Female","75","Black or African American","Not Hispanic or Latino","3900 BAREVA RD","Northwest","East Arlington",39.333823,-76.671685,"Street","12:00","a.m."
"273","4/9/2025","Auto theft","Inside","None reported","Female","54","Black or African American","Not Hispanic or Latino","4800 ANNTANA AVE","Northeast","Frankford",39.333307,-76.540974,"Other/residential","12:00","a.m."
"274","4/9/2025","Auto theft","Outside","None reported","Female","36","Black or African American","Unknown","3700 SAINT MARGARET ST","Southern","Brooklyn",39.23272,-76.595707,"Street","12:30","a.m."
"275","4/9/2025","Auto theft","Outside","None reported","Female","67","Black or African American","Not Hispanic or Latino","5600 CEDELLA AVE","Northeast","Frankford",39.33255,-76.540631,"Street","4:00","a.m."
"276","4/9/2025","Auto theft","Outside","None reported","Female","29","Black or African American","Not Hispanic or Latino","2000 E 30TH ST","Eastern","Coldstream Homestead Montebello",39.325456,-76.587429,"Street","4:00","a.m."
"277","4/9/2025","Auto theft","Outside","None reported","Male","33","Black or African American","Not Hispanic or Latino","2500 GARRETT AVE","Eastern","Coldstream Homestead Montebello",39.319038,-76.598491,"Street","5:30","a.m."
"278","4/9/2025","Auto theft","Outside","None reported","Male","27","Black or African American","Not Hispanic or Latino","4100 GLENARM AVE","Northeast","Hamilton",39.345836,-76.541984,"Street","6:00","a.m."
"279","4/9/2025","Auto theft","Inside","None reported","Male","42","None reported","Hispanic or Latino","3800 BENSON AVE","Southern","Violetville",39.263156,-76.676666,"Other/residential","8:40","a.m."
"280","4/9/2025","Auto theft","Outside","None reported","Male","59","Black or African American","Not Hispanic or Latino","2400 MONTICELLO RD","Northwest","Windsor Hills",39.315245,-76.685202,"Street","11:25","a.m."
"281","4/9/2025","Auto theft","Inside","None reported","Female","64","Black or African American","Not Hispanic or Latino","2600 FRANCIS ST","Western","Penn North",39.314263,-76.643725,"Other/residential","11:47","a.m."
"282","4/9/2025","Auto theft","Outside","None reported","Female","32","Black or African American","Unknown","2300 HAMPDEN AVE","Northern","Remington",39.315116,-76.622028,"Street","2:00","p.m."
"283","4/9/2025","Auto theft","Inside","None reported","Female","39","Black or African American","Unknown","3400 COTTAGE AVE","Northern","Park Circle",39.327679,-76.657217,"Other/residential","2:30","p.m."
"284","4/9/2025","Auto theft","Outside","None reported","Male","48","Black or African American","Not Hispanic or Latino","2500 LIBERTY HEIGHTS AVE","Northern","Liberty Square",39.319481,-76.655833,"Shed/garage","5:30","p.m."
"285","4/9/2025","Auto theft","Outside","None reported","Male","34","Black or African American","Unknown","2100 BOLTON ST","Western","Reservoir Hill",39.311772,-76.629881,"Street","6:00","p.m."
"286","4/9/2025","Auto theft","Outside","None reported","Female","24","White","Not Hispanic or Latino","1000 WOODSON RD","Northeast","Lake Walker",39.371176,-76.599553,"Shed/garage","9:30","p.m."
"287","4/9/2025","Auto theft","Outside","None reported","Male","40","None reported","Unknown","3600 CHESTNUT AVE","Northern","Hampden",39.3317,-76.629348,"Street","10:40","p.m."
"288","4/9/2025","Auto theft","Inside","None reported","Male","33","Native Hawaiian or other Pacific Islander","Hispanic or Latino","6100 PARKWAY DR","Northeast","Lake Walker",39.368143,-76.602167,"Other/residential","11:45","p.m."
"289","4/10/2025","Auto theft","Outside","None reported","Male","22","Black or African American","Not Hispanic or Latino","3600 POTEE ST","Southern","Brooklyn",39.238883,-76.610829,"Street","12:40","a.m."
"290","4/10/2025","Auto theft","Inside","None reported","Male","36","Black or African American","Not Hispanic or Latino","4100 BELLE AVE","Northwest","Dorchester",39.333241,-76.687278,"Other/residential","2:01","a.m."
"291","4/10/2025","Auto theft","Inside","None reported","Male","39","White","Not Hispanic or Latino","6000 HENDERSON AVE","Northern","Lake Evesham",39.366386,-76.611816,"Other/residential","2:30","a.m."
"292","4/10/2025","Auto theft","Outside","None reported","Male","31","Black or African American","Not Hispanic or Latino","5900 CROSS COUNTRY BLVD","Northwest","Mount Washington",39.361447,-76.678601,"Shed/garage","2:45","a.m."
"293","4/10/2025","Auto theft","Outside","None reported","Male","42","Black or African American","Unknown","6600 EBERLE DR","Northwest","Reisterstown Station",39.354626,-76.709752,"Shed/garage","3:00","a.m."
